FID	IID	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
85_85_Leiden	85_85_Leiden	0.02503201	0.2306444	0.003935823	-0.02585044	-0.01123972	-0.01197318	0.02285212	0.03298325	-0.007909491	-0.005027273
85_1153940018	85_1153940018	0.02478527	0.2301356	0.009705717	-0.02068311	-0.009106115	-0.01320717	0.02431206	0.03602574	-0.003892123	-0.01045119
86_86_Leiden	86_86_Leiden	0.02408911	0.2290392	0.004854286	-0.02540555	-0.008374164	-0.0119531	0.02345574	0.03185602	-0.005634363	-0.008920324
86_EA3946	86_EA3946	0.02503921	0.2299974	0.005099168	-0.0307931	-0.008828901	-0.01318226	0.02416693	0.03447638	-0.00576889	-0.01077382
87_87_Leiden	87_87_Leiden	0.02461491	0.2279752	0.004042271	-0.0267505	-0.008126368	-0.01074756	0.02318475	0.0318114	-0.008461132	-0.008427183
87_961	87_961	0.02667005	0.2297215	0.01284082	-0.02776484	-0.009022198	-0.0102015	0.01978404	0.03344248	-0.008586343	-0.0003336604
88_88_Leiden	88_88_Leiden	0.02753504	0.2263279	0.01060665	-0.02469957	-0.009602802	-0.01348899	0.01874558	0.03098337	-0.006715535	-0.01046727
88_ARC633	88_ARC633	0.02547657	0.2304203	0.008170628	-0.02625912	-0.01039326	-0.01171269	0.02322817	0.03159655	-0.01152582	-0.01271773
89_89_Leiden	89_89_Leiden	0.02405195	0.2270527	0.008852582	-0.02635843	-0.01089819	-0.01479104	0.0193386	0.03318345	-0.007350458	-0.01247588
90_90_Leiden	90_90_Leiden	0.02341663	0.2289667	0.009744301	-0.02800484	-0.009153778	-0.01173464	0.01976059	0.03325865	-0.00822254	-0.01073832
90_721	90_721	0.0307338	0.22719	0.004944768	-0.02501918	-0.0139143	-0.009565538	0.02213433	0.03282714	-0.006955747	-0.009183731
91_91_Leiden	91_91_Leiden	0.02180007	0.229056	0.008492003	-0.02817586	-0.00845419	-0.01015387	0.02138048	0.03302186	-0.006977806	-0.01189543
91_529	91_529	0.02613608	0.228906	0.008881058	-0.02702513	-0.01121587	-0.0112085	0.02073742	0.03719857	-0.009837492	-0.007377052
92_92_Leiden	92_92_Leiden	0.02123862	0.2254649	0.009835914	-0.02205297	-0.01300544	-0.01185899	0.01642778	0.0311731	-0.009769753	-0.01140175
